Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
25-35,she/hers,"Asian,White",No,Unsure,Yes,Yes,5-10 years,2-5 years,"Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Library director ,Human Resources/disability office",,"When my illness/disability impacted my work,When requesting accommodations","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,When requesting accommodations","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,When requesting accommodations","When my illness/disability impacted my work,When requesting accommodations","When my illness/disability impacted my work,When requesting accommodations",,Yes,No,Other,N/A,N/A,N/A,Agree,N/A,N/A,N/A,Agree        ,Agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly disagree        ,Strongly disagree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
25-35,he/his,White,No,Yes,Yes,Yes,Less than 5 years,Less than 2 years,Human Resources/disability office,,,,,,During the interview/hiring process,,No,,,N/A,N/A,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree        ,Neither agree nor disagree      ,N/A,N/A,N/A,N/A,N/A,Disagree        ,Neither agree nor disagree      ,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,N/A,N/A,N/A,Disagree,Strongly agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,No,,Yes,Yes,5-10 years,5-10 years,"Colleagues I consider close friends,Other",When my illness/disability impacted my work,,,,,,,No,,,N/A,N/A,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Agree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,N/A,N/A,Agree        ,Agree        ,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,N/A,N/A,N/A,N/A,N/A,Agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,I am open about my illness/disability with everyone,,,,,,,When my illness/disability impacted my work,No,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Disagree        ,Agree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Yes,Yes,15-20 years,2-5 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,,When my illness/disability impacted my work,,,,,No,,,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,N/A,N/A,N/A,Disagree,Agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,No,No,Yes,Yes,10-15 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Human Resources/disability office","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,Other","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",When my illness/disability impacted my work,,"When my illness/disability impacted my work,When requesting accommodations",,Yes,Yes,"Work environment (furniture, office location, etc.),Job duties (shifting from in-person to online instruction, front end to back end duties, etc).",N/A,N/A,N/A,Disagree,Disagree,Disagree,Disagree,Disagree        ,Disagree        ,Disagree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Strongly agree        ,Agree        ,Strongly disagree        ,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree
45-55,she/hers,White,Yes,Unsure,Unsure,Unsure,20+ years,5-10 years,I am open about my illness/disability with everyone,,,,,,,Once I began working,No,,,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,No,Yes,Yes,5-10 years,Less than 2 years,"Colleagues I work with regularly,Other library administrator/manager that I do not report to directly,Human Resources/disability office",,Once I began working,,Once I began working,,During the interview/hiring process,,No,,,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree        ,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree
35-45,she/hers,White,Yes,Yes,No,No,10-15 years,10-15 years,"Colleagues I consider close friends,My direct supervisor (if not library director)","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues",,"When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,,,Yes,Yes,"Work schedule (change in hours, work from home, etc)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Agree        ,Agree        ,Disagree        ,Agree        ,Disagree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,N/A,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,N/A,N/A,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35-45,she/hers,White,Yes,Yes,No,No,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Library director ,I am open about my illness/disability with everyone",As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,,As I built a personal relationship with colleagues,,As I built a personal relationship with colleagues,No,,,Agree,Disagree,N/A,Neither agree nor disagree,N/A,N/A,Disagree,Disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A
25-35,she/hers,White,No,,Yes,Yes,Less than 5 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly",As I built a personal relationship with colleagues,When my illness/disability impacted my work,,,,,,No,,,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree        ,Agree        ,Disagree        ,Disagree        ,Strongly disagree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,No,,Less than 5 years,Less than 2 years,No one,,,,,,,,No,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree        ,Agree        ,Strongly disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Agree        ,Agree        ,Disagree        ,Strongly disagree        ,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,N/A,N/A,N/A,Disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A
45-55,he/his,White,Unsure,Yes,No,Yes,15-20 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office,I am open about my illness/disability with everyone","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",No,,,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,N/A,N/A,Disagree        ,Disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Disagree        ,Strongly disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,No,No,10-15 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),I am open about my illness/disability with everyone",Once I began working,As I built a personal relationship with colleagues,When my illness/disability impacted my work,,,,Once I began working,No,,,N/A,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree      ,Disagree        ,Agree        ,Disagree        ,Agree        ,Disagree        ,Strongly disagree        ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree
35-45,she/hers,White,No,No,Yes,Yes,10-15 years,5-10 years,No one,,,,,,,,No,,,N/A,N/A,Disagree,Disagree,Strongly disagree,Disagree,N/A,Disagree        ,Agree        ,N/A,N/A,N/A,N/A,N/A,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A,N/A,Disagree,Agree,N/A,N/A,N/A,N/A
25-35,he/his,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,No one,,,,,,,,No,,,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,N/A,N/A,Agree        ,Neither agree nor disagree      ,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,No,No,15-20 years,10-15 years,No one,,,,,,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,N/A,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office,Other",As I built a personal relationship with colleagues,"When my illness/disability impacted my work,As I built a personal relationship with colleagues",When my illness/disability impacted my work,,,When my illness/disability impacted my work,,Unsure,,,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Strongly disagree        ,Agree        ,Agree        ,Agree        ,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,N/A,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree
35-45,she/hers,White,Yes,Yes,No,,5-10 years,2-5 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,,When my illness/disability impacted my work,,,,,No,,,N/A,N/A,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree        ,Agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,10-15 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Agree,Neither agree nor disagree,N/A,N/A,N/A,Agree,Disagree,Agree        ,Agree        ,Strongly agree        ,Agree        ,Disagree        ,Strongly disagree        ,Disagree        ,Disagree        ,Disagree        ,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
25-35,they/them,White,Yes,Yes,No,Yes,Less than 5 years,2-5 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Library director ",As I built a personal relationship with colleagues,,As I built a personal relationship with colleagues,,As I built a personal relationship with colleagues,,,No,,,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree        ,Agree        ,Strongly agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Strongly disagree        ,Agree        ,Agree        ,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,20+ years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Library director ,I am open about my illness/disability with everyone",Upon receiving a diagnosis or beginning treatment,Upon receiving a diagnosis or beginning treatment,Upon receiving a diagnosis or beginning treatment,,Other,,Upon receiving a diagnosis or beginning treatment,Yes,Yes,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).",Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Strongly agree        ,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Disagree,,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree
25-35,she/hers,White,Yes,Yes,Unsure,Unsure,Less than 5 years,Less than 2 years,Colleagues I consider close friends,Other,,,,,,,No,,,Disagree,Disagree,Disagree,N/A,Strongly disagree,Agree,Disagree,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree        ,Disagree        ,N/A,N/A,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,N/A,N/A,N/A,Agree,Strongly agree,N/A,N/A,N/A,N/A
25-35,Other,White,Yes,Yes,Unsure,Yes,5-10 years,Less than 2 years,"Colleagues I work with regularly,Library director ",,"When my illness/disability impacted my work,When requesting accommodations",,,When my illness/disability impacted my work,,,Yes,Unsure,Other,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35-45,he/his,White,No,No,Yes,Yes,5-10 years,5-10 years,I am open about my illness/disability with everyone,,,,,,,Once I began working,Yes,Yes,"Work environment (furniture, office location, etc.)",Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,N/A,N/A,Strongly agree        ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Agree        ,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
25-35,Other,White,Yes,Yes,No,No,Less than 5 years,Less than 2 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree      ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,N/A
25-35,she/hers,White,No,No,Yes,Yes,Less than 5 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,As I built a personal relationship with colleagues",When my illness/disability impacted my work,,,,,No,,,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,N/A,N/A,Agree        ,Disagree        ,Disagree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Agree,Strongly disagree,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,No,,20+ years,5-10 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office",Upon receiving a diagnosis or beginning treatment,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,Upon receiving a diagnosis or beginning treatment,,No,,,Agree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,N/A,Agree        ,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,,Neither agree nor disagree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,No one,,,,,,,,No,,,N/A,N/A,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree      ,Agree        ,Disagree        ,N/A,Strongly disagree        ,N/A,N/A,Agree        ,Agree        ,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,N/A,N/A,N/A,N/A,Agree,Strongly disagree,N/A,N/A,N/A,N/A
35-45,he/his,White,Yes,Yes,Yes,Yes,10-15 years,Less than 2 years,Colleagues I work with regularly,,"Once I began working,When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,,,,No,,,N/A,N/A,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree        ,Strongly disagree        ,Agree        ,Agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree      ,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,Strongly disagree,Disagree,Agree,Agree,Agree,Agree
35-45,she/hers,White,Yes,Yes,No,Yes,10-15 years,2-5 years,"Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Library director ,Human Resources/disability office",,Upon receiving a diagnosis or beginning treatment,Upon receiving a diagnosis or beginning treatment,Upon receiving a diagnosis or beginning treatment,Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,,Yes,No,,Strongly agree,Strongly agree,N/A,Agree,N/A,Strongly agree,Disagree,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree        ,N/A,Disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,N/A,N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
45-55,she/hers,White,Yes,Yes,No,No,10-15 years,5-10 years,"Colleagues I work with regularly,Library director ",,As I built a personal relationship with colleagues,,,As I built a personal relationship with colleagues,,,No,,,Disagree,Strongly disagree,Strongly disagree,N/A,N/A,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Disagree,Disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,N/A,N/A,N/A,N/A,N/A,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A
35-45,she/hers,Hispanic/Latinx,No,No,Yes,Yes,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",Upon receiving a diagnosis or beginning treatment,,When my illness/disability impacted my work,,,,,No,,,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree      ,Agree        ,Agree        ,Neither agree nor disagree      ,Strongly agree        ,Disagree        ,Disagree        ,Neither agree nor disagree      ,Disagree        ,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,N/A,N/A,N/A,Neither agree nor disagree,Strongly agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,"When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations",,,,,Yes,Yes,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree        ,Strongly agree        ,Disagree        ,Disagree        ,Disagree        ,Strongly agree        ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree      ,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,N/A,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
25-35,she/hers,White,Yes,Yes,Unsure,Unsure,5-10 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director)","Once I began working,As I built a personal relationship with colleagues","Once I began working,As I built a personal relationship with colleagues,When requesting accommodations","Once I began working,As I built a personal relationship with colleagues,When requesting accommodations",,,,,Yes,Yes,"Work schedule (change in hours, work from home, etc),Other",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,N/A,Strongly disagree,Strongly agree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Strongly disagree        ,Strongly disagree        ,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,Less than 2 years,"Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office,I am open about my illness/disability with everyone",,When my illness/disability impacted my work,"When my illness/disability impacted my work,When requesting accommodations,Other",,,"When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations","Once I began working,When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations",Yes,Yes,Other,Agree,,Disagree,N/A,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree        ,Strongly disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Neither agree nor disagree      ,Strongly agree        ,Agree        ,Disagree        ,Agree        ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,Disagree,Disagree,Strongly disagree,N/A,N/A,N/A
